epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3725.06,1.06654,0.63963,0.00284,0.81954,0.77309,0.84037,0.60545,0.96363,0.57785,0.00515,0.000354691,0.000354691,0.000354691
60,3787.06,1.07127,0.64858,0.00288,0.83779,0.74442,0.84209,0.60839,0.95883,0.57509,0.00515,0.000346445,0.000346445,0.000346445
61,3848.8,1.06879,0.63723,0.00282,0.83246,0.76608,0.84196,0.60662,0.96407,0.56907,0.00517,0.000338198,0.000338198,0.000338198
62,3911.1,1.05805,0.63521,0.00282,0.83939,0.76381,0.84148,0.61064,0.95974,0.57074,0.00514,0.000329951,0.000329951,0.000329951
63,3973.09,1.06182,0.63479,0.00281,0.82247,0.77023,0.84473,0.61358,0.95229,0.57121,0.00509,0.000321705,0.000321705,0.000321705
64,4072.57,1.05652,0.63092,0.0028,0.83869,0.75316,0.83663,0.60965,0.95346,0.56835,0.0051,0.000313458,0.000313458,0.000313458
65,4098.03,1.05138,0.62642,0.00276,0.85009,0.74909,0.84227,0.61385,0.94894,0.56512,0.00508,0.000305211,0.000305211,0.000305211
66,4167.38,1.05147,0.62699,0.00277,0.85168,0.75228,0.84965,0.6175,0.95074,0.56157,0.00511,0.000296964,0.000296964,0.000296964
67,4267.79,1.04448,0.62145,0.00275,0.83245,0.77965,0.84937,0.61779,0.94827,0.5615,0.00509,0.000288718,0.000288718,0.000288718
68,4291.96,1.03487,0.61183,0.00274,0.8546,0.7793,0.84964,0.61933,0.94339,0.5582,0.00504,0.000280471,0.000280471,0.000280471
69,4390.54,1.03831,0.6168,0.00274,0.86218,0.76321,0.85166,0.62217,0.9393,0.55006,0.00502,0.000272224,0.000272224,0.000272224
70,4414.15,1.04055,0.61042,0.0027,0.87818,0.76047,0.85493,0.62673,0.93754,0.55439,0.00503,0.000263978,0.000263978,0.000263978
71,4476.74,1.02913,0.60274,0.00272,0.84336,0.79051,0.85709,0.63068,0.93674,0.55136,0.00501,0.000255731,0.000255731,0.000255731
72,4538.45,1.03479,0.60464,0.00267,0.8894,0.7422,0.85344,0.62644,0.93277,0.55288,0.005,0.000247484,0.000247484,0.000247484
73,4599.29,1.0242,0.60575,0.00268,0.84307,0.77621,0.8557,0.62777,0.93323,0.54521,0.00497,0.000239238,0.000239238,0.000239238
74,4660.15,1.01806,0.59646,0.00268,0.8586,0.7737,0.85571,0.62867,0.9317,0.54618,0.00498,0.000230991,0.000230991,0.000230991
75,4760.2,1.01331,0.59494,0.00264,0.86276,0.77284,0.85377,0.62973,0.93309,0.54134,0.005,0.000222744,0.000222744,0.000222744
76,4821.8,1.02501,0.60131,0.00265,0.87736,0.76671,0.85539,0.63368,0.92975,0.54156,0.00496,0.000214497,0.000214497,0.000214497
77,4845.01,1.02011,0.59988,0.00263,0.84587,0.77907,0.85549,0.63069,0.93047,0.54129,0.00495,0.000206251,0.000206251,0.000206251
78,4905.59,1.00934,0.58964,0.00263,0.862,0.78247,0.8604,0.63252,0.9245,0.53376,0.00493,0.000198004,0.000198004,0.000198004
79,4967.75,1.00164,0.58183,0.00259,0.89262,0.75813,0.85739,0.63597,0.92194,0.53779,0.00491,0.000189757,0.000189757,0.000189757
80,5029.1,1.00578,0.58643,0.0026,0.85538,0.77589,0.85563,0.63233,0.92196,0.53527,0.00491,0.000181511,0.000181511,0.000181511
81,5090.43,1.00808,0.59035,0.00258,0.84934,0.78348,0.85935,0.63496,0.91682,0.53475,0.00488,0.000173264,0.000173264,0.000173264
82,5151.17,0.98933,0.57224,0.00259,0.86444,0.77884,0.85887,0.635,0.91484,0.53605,0.00487,0.000165017,0.000165017,0.000165017
83,5250.97,1.00162,0.58319,0.00259,0.87251,0.76082,0.85962,0.63681,0.91201,0.5339,0.00484,0.000156771,0.000156771,0.000156771
84,5274.35,0.99761,0.5783,0.00255,0.85563,0.78387,0.85983,0.63892,0.91386,0.53029,0.00485,0.000148524,0.000148524,0.000148524
85,5336.02,0.98994,0.57178,0.00255,0.84404,0.7824,0.86113,0.63988,0.91185,0.53044,0.00484,0.000140277,0.000140277,0.000140277
86,5434.56,0.99828,0.58143,0.00258,0.85591,0.77906,0.85956,0.6395,0.90804,0.52762,0.00482,0.000132031,0.000132031,0.000132031
87,5458.63,0.98701,0.57153,0.00256,0.84563,0.78515,0.85833,0.63905,0.90834,0.52714,0.00484,0.000123784,0.000123784,0.000123784
88,5520.21,0.98314,0.56741,0.00251,0.84448,0.7918,0.86237,0.64318,0.90972,0.52607,0.00483,0.000115537,0.000115537,0.000115537
89,5581.87,0.98732,0.56776,0.00253,0.86383,0.77924,0.8618,0.64276,0.90715,0.52349,0.00482,0.00010729,0.00010729,0.00010729
90,5642.73,0.98308,0.56749,0.00252,0.86519,0.7896,0.86251,0.64446,0.90492,0.5258,0.00481,9.90437e-05,9.90437e-05,9.90437e-05
91,5705.42,0.92312,0.50908,0.00254,0.84711,0.78739,0.85954,0.63437,0.92389,0.53471,0.00493,9.0797e-05,9.0797e-05,9.0797e-05
92,5766.36,0.90255,0.49379,0.00244,0.83593,0.7973,0.85846,0.63581,0.92316,0.5349,0.00493,8.25503e-05,8.25503e-05,8.25503e-05
93,5827.95,0.89653,0.48927,0.00244,0.84742,0.79167,0.85673,0.63601,0.91984,0.53254,0.00491,7.43036e-05,7.43036e-05,7.43036e-05
94,5925.7,0.88277,0.4832,0.00241,0.84288,0.79162,0.8577,0.63723,0.91688,0.52943,0.0049,6.60569e-05,6.60569e-05,6.60569e-05
95,5987.64,0.88273,0.48403,0.0024,0.8574,0.78672,0.85939,0.63945,0.91506,0.5297,0.00488,5.78102e-05,5.78102e-05,5.78102e-05
96,6048.05,0.88049,0.47879,0.00238,0.856,0.79184,0.86237,0.64046,0.91286,0.52658,0.00487,4.95635e-05,4.95635e-05,4.95635e-05
97,6070.68,0.87913,0.47914,0.00235,0.89105,0.77055,0.86183,0.64181,0.91067,0.52733,0.00485,4.13168e-05,4.13168e-05,4.13168e-05
98,6131.05,0.88086,0.48082,0.00233,0.88378,0.77276,0.85858,0.63905,0.91089,0.52612,0.00486,3.30701e-05,3.30701e-05,3.30701e-05
99,6230.62,0.86964,0.47631,0.00234,0.87743,0.7729,0.85818,0.63848,0.91073,0.52556,0.00486,2.48234e-05,2.48234e-05,2.48234e-05
100,6253.08,0.87477,0.47596,0.00235,0.86667,0.78118,0.85905,0.63927,0.9092,0.5262,0.00485,1.65767e-05,1.65767e-05,1.65767e-05
